我 | wǒ | I, me
我们 | wǒmen | we, us
你 | nǐ | you
他 | tā | he, him
她 | tā | she, her
这 | zhè | this
那 | nà | that
哪 | nǎ | which
哪儿 | nǎr | where
谁 | shéi | who
什么 | shénme | what
多少 | duōshǎo | how many/much
几 | jǐ | how many
怎么 | zěnme | how
怎么样 | zěnmeyàng | how about
一 | yī | one
二 | èr | two
三 | sān | three
四 | sì | four
五 | wǔ | five
六 | liù | six
七 | qī | seven
八 | bā | eight
九 | jiǔ | nine
十 | shí | ten
个 | gè | measure word (objects)
岁 | suì | measure word (age)
本 | běn | measure word (books)
些 | xiē | some
块 | kuài | piece, chunk
不 | bù | no, not
没 | méi | no, not have
很 | hěn | very, quite
太 | tài | too
都 | dōu | all
一点儿 | yīdiǎnr | a little bit
和 | hé | and
在 | zài | in, at
的 | de | structural particle
了 | le | completed action particle
吗 | ma | question particle
呢 | ne | question/pause particle
喂 | wèi | hello
家 | jiā | home
学校 | xuéxiào | school
饭店 | fàndiàn | restaurant
商店 | shāngdiàn | store
医院 | yīyuàn | hospital
中国 | Zhōngguó | China
北京 | Běijīng | Beijing
上 | shàng | up, on
下 | xià | down, under
前面 | qiánmiàn | front
后面 | hòumiàn | behind
里 | lǐ | inside
今天 | jīntiān | today
明天 | míngtiān | tomorrow
昨天 | zuótiān | yesterday
上午 | shàngwǔ | morning
中午 | zhōngwǔ | noon
下午 | xiàwǔ | afternoon
年 | nián | year
月 | yuè | month
号 | hào | number, date
星期 | xīngqī | week
点 | diǎn | o'clock
分钟 | fēnzhōng | minute
现在 | xiànzài | now
时候 | shíhou | time, moment
爸爸 | bàba | father
妈妈 | māma | mother
儿子 | érzi | son
女儿 | nǚér | daughter
老师 | lǎoshī | teacher
学生 | xuéshēng | student
同学 | tóngxué | classmate
朋友 | péngyǒu | friend
医生 | yīshēng | doctor
先生 | xiānsheng | sir, Mr.
小姐 | xiǎojiě | Miss
衣服 | yīfu | clothes
水 | shuǐ | water
菜 | cài | dish, vegetable
米饭 | mǐfàn | rice
水果 | shuǐguǒ | fruit
苹果 | píngguǒ | apple
茶 | chá | tea
杯子 | bēizi | cup
钱 | qián | money
飞机 | fēijī | airplane
出租车 | chūzūchē | taxi
电视 | diànshì | television
电脑 | diànnǎo | computer
电影 | diànyǐng | movie
天气 | tiānqì | weather
猫 | māo | cat
狗 | gǒu | dog
东西 | dōngxi | thing
人 | rén | person
名字 | míngzi | name
书 | shū | book
汉语 | hànyǔ | Mandarin Chinese
字 | zì | character
桌子 | zhuōzi | desk
椅子 | yǐzi | chair
谢谢 | xièxie | thank you
不客气 | búkèqì | you are welcome
再见 | zàijiàn | goodbye
请 | qǐng | please
对不起 | duìbùqǐ | sorry
没关系 | méiguānxì | it doesn't matter
是 | shì | to be
有 | yǒu | to have
看 | kàn | to look, to watch
听 | tīng | to listen
说 | shuō | to speak, to say
读 | dú | to read
写 | xiě | to write
看见 | kànjiàn | to see
叫 | jiào | to call, to be called
来 | lái | to come
回 | huí | to return
去 | qù | to go
吃 | chī | to eat
喝 | hē | to drink
睡觉 | shuìjiào | to sleep
打电话 | dǎdiànhuà | to make a phone call
做 | zuò | to do
买 | mǎi | to buy
开 | kāi | to open, to drive
坐 | zuò | to sit
住 | zhù | to live
学习 | xuéxí | to study
工作 | gōngzuò | to work
下雨 | xiàyǔ | to rain
爱 | ài | to love
喜欢 | xǐhuān | to like, to love
想 | xiǎng | to want, to think
认识 | rènshi | to know (a person)
会 | huì | can, to be able to
能 | néng | can, to be able to
好 | hǎo | good
大 | dà | big
小 | xiǎo | small
多 | duō | many, much
少 | shǎo | few, little
冷 | lěng | cold
热 | rè | hot
高兴 | gāoxìng | happy
漂亮 | piàoliang | beautiful
